Vial ID,Storage container ID,Well coordinate,# of individuals,Recorded by,Original processing date,Identification,,,,,Fulcrum - Sorting App,,,Pinning,,,Fulcrum - Pinning App,,,local,range,Elevation,lat,long,trap,date,manager,trap
SRER_008.W.20220614.CARSP14.01,D14.2022.CARSP14.SRER.04,C1,2,Kmatthiesen,,Discoderus robustus,20221116,E.Martin,"Arnett and Thomas, 2001",,20221129,E.Martin,,,,,,,,,,,,,,,,
SRER_009.E.20220614.CARSP14.01,D14.2022.CARSP14.SRER.04,C2,1,Kmatthiesen,,Discoderus robustus,20221116,E.Martin,"Arnett and Thomas, 2001",,20221129,E.Martin,,,,,,,,,,,,,,,,
SRER_009.W.20220614.CARSP14.01,D14.2022.CARSP14.SRER.04,C3,2,Kmatthiesen,,Discoderus robustus,20221116,E.Martin,"Arnett and Thomas, 2001",,20221129,E.Martin,,,,,,,,,,,,,,,,
SRER_009.W.20220614.CARSP14.02,D14.2022.CARSP14.SRER.04,C4,3,Kmatthiesen,,Tetragonoderus intersectus,20221115,E.Martin,"Lindroth, 1969",,20221129,E.Martin,,,,,,,,,,,,,,,,
SRER_010.W.20220614.CARSP14.01,D14.2022.CARSP14.SRER.04,C5,1,Kmatthiesen,,Selenophorus sp. (likely S. planipennis),,,,[Det. Seleno. 20221117] Small individual--doesn't fully have the Selenophorus shape. Annoyed by the Parascutellar striae split in the key as Disco's also have this. But still leaning more towards Seleno.,,,Wait for sp. ID,,,,,,,,,,,,,,,
SRER_001.W.20220628.CARSP14.01,D14.2022.CARSP14.SRER.04,D1,2,Kmatthiesen,,Apristus tuckeri,20221115,E.Martin,"Casey, 1914",,20221129,E.Martin,res not in fulcrum,,,,,,,,,,,,,,,
SRER_002.E.20220628.CARSP14.01,D14.2022.CARSP14.SRER.04,D2,2,Kmatthiesen,,Discoderus robustus,20221116,E.Martin,"Arnett and Thomas, 2001",,20221129,E.Martin,,,,,,,,,,,,,,,,
SRER_002.S.20220628.CARSP14.01,D14.2022.CARSP14.SRER.04,D3,3,Kmatthiesen,,Discoderus robustus,20221116,E.Martin,"Arnett and Thomas, 2001",,20221129,E.Martin,,,,,,,,,,,,,,,,
SRER_002.W.20220628.CARSP14.01,D14.2022.CARSP14.SRER.04,D4,8,Kmatthiesen,,Discoderus robustus,20221116,E.Martin,"Arnett and Thomas, 2001",,20221129,E.Martin,,,,,,,,,,,,,,,,
SRER_003.E.20220628.CARSP14.01,D14.2022.CARSP14.SRER.04,D5,1,Kmatthiesen,,Selenophorus sp.,20221129,R. Leal,"Arnett and Thomas, 2001",,,,Wait for sp. ID,,,,,,,,,,,,,,,
SRER_003.S.20220628.CARSP14.01,D14.2022.CARSP14.SRER.04,E1,1,Kmatthiesen,,Selenophorus sp.,20221129,R. Leal,"Arnett and Thomas, 2001",,,,Wait for sp. ID,,,,,,,,,,,,,,,
SRER_003.S.20220628.CARSP14.02,D14.2022.CARSP14.SRER.04,E2,2,Kmatthiesen,,Discoderus robustus,20221116,E.Martin,"Arnett and Thomas, 2001",,20221129,E.Martin,,,,,,,,,,,,,,,,
SRER_003.W.20220628.CARSP14.01,D14.2022.CARSP14.SRER.04,E3,1,Kmatthiesen,,Discoderus robustus,20221116,E.Martin,"Arnett and Thomas, 2001",,20221129,E.Martin,,,,,,,,,,,,,,,,
SRER_003.W.20220628.CARSP14.02,D14.2022.CARSP14.SRER.04,E4,2,Kmatthiesen,,Selenophorus sp.,20221129,R. Leal,"Arnett and Thomas, 2001",Maybe S. planipennis [EM],,,Wait for sp. ID,,,,,,,,,,,,,,,
SRER_004.E.20220628.CARSP14.01,D14.2022.CARSP14.SRER.04,E5,2,Kmatthiesen,,Selenophorus sp.,20221129,R. Leal,"Arnett and Thomas, 2001",Maybe S. planipennis [EM],,,Wait for sp. ID,,,,,,,,,,,,,,,
SRER_004.E.20220628.CARSP14.02,D14.2022.CARSP14.SRER.05,A1,2,Kmatthiesen,,Apristus tuckeri,20221116,E.Martin,"Arnett and Thomas, 2001",,20221129,E.Martin,,,,,,,,,,,,,,,,
SRER_004.S.20220628.CARSP14.01,D14.2022.CARSP14.SRER.05,A2,1,Kmatthiesen,,Selenophorus sp.,20221129,R. Leal,"Arnett and Thomas, 2001",,,,Wait for sp. ID,,,,,,,,,,,,,,,
SRER_004.S.20220628.CARSP14.02,D14.2022.CARSP14.SRER.05,A3,1,Kmatthiesen,,Apristus tuckeri,20221116,E.Martin,"Casey, 1914",,20221129,E.Martin,res not in fulcrum,,,,,,,,,,,,,,,
SRER_004.W.20220628.CARSP14.01,D14.2022.CARSP14.SRER.05,A4,1,Kmatthiesen,,Apristus tuckeri,20221116,E.Martin,"Casey, 1914",,20221129,E.Martin,res not in fulcrum,,,,,,,,,,,,,,,
SRER_004.W.20220628.CARSP14.02,D14.2022.CARSP14.SRER.05,A5,1,Kmatthiesen,,Selenophorus sp.,20221129,R. Leal,"Arnett and Thomas, 2001",,,,Wait for sp. ID,,,,,,,,,,,,,,,
SRER_005.E.20220628.CARSP14.01,D14.2022.CARSP14.SRER.05,B1,1,Kmatthiesen,,Selenophorus sp.,20221129,R. Leal,"Arnett and Thomas, 2001",,,,Wait for sp. ID,,,,,,,,,,,,,,,
SRER_006.E.20220628.CARSP14.01,D14.2022.CARSP14.SRER.05,B2,3,Kmatthiesen,,Selenophorus sp.,20221129,R. Leal,"Arnett and Thomas, 2001",Metallic-like. No internal plica so not Abaris. Most like S. plannipennis(20221121 EM),,,Wait for sp. ID,,,,,,,,,,,,,,,
SRER_007.E.20220628.CARSP14.01,D14.2022.CARSP14.SRER.05,B3,1,Kmatthiesen,,Discoderus robustus,20221116,E.Martin,"Arnett and Thomas, 2001",,20221129,E.Martin,,,,,,,,,,,,,,,,
SRER_007.E.20220628.CARSP14.02,D14.2022.CARSP14.SRER.05,B4,1,Kmatthiesen,,Selenophorus sp,20221129,R. Leal,"Arnett and Thomas, 2001",,,,Wait for sp. ID,,,,,,,,,,,,,,,
SRER_007.W.20220628.CARSP14.01,D14.2022.CARSP14.SRER.05,C1,2,Kmatthiesen,,Discoderus robustus,20221116,E.Martin,"Arnett and Thomas, 2001",,20221129,E.Martin,,,,,,,,,,,,,,,,
SRER_008.E.20220628.CARSP14.01,D14.2022.CARSP14.SRER.05,C2,2,Kmatthiesen,,Discoderus robustus,20221116,E.Martin,"Arnett and Thomas, 2001",,20221129,E.Martin,,,,,,,,,,,,,,,,
SRER_008.W.20220628.CARSP14.01,D14.2022.CARSP14.SRER.05,C3,2,Kmatthiesen,,Discoderus robustus,20221116,E.Martin,"Arnett and Thomas, 2001",,20221129,E.Martin,,,,,,,,,,,,,,,,
SRER_009.S.20220628.CARSP14.01,D14.2022.CARSP14.SRER.05,C4,1,Kmatthiesen,,Apristus tuckeri,20221116,E.Martin,"Casey, 1914",,20221129,E.Martin,,,,,,,,,,,,,,,,
SRER_009.W.20220628.CARSP14.01,D14.2022.CARSP14.SRER.05,C5,3,Kmatthiesen,,Selenophorus sp.,20221129,R. Leal,"Arnett and Thomas, 2001",,,,Wait for sp. ID,,,,,,,,,,,,,,,
SRER_009.W.20220628.CARSP14.02,D14.2022.CARSP14.SRER.05,D1,2,Kmatthiesen,,Discoderus robustus,20221116,E.Martin,"Arnett and Thomas, 2001",,20221129,E.Martin,,,,,,,,,,,,,,,,
SRER_010.W.20220628.CARSP14.02,D14.2022.CARSP14.SRER.05,D3,1,Kmatthiesen,,Discoderus robustus,20221116,E.Martin,"Arnett and Thomas, 2001",,20221129,E.Martin,Possible Disco to add; but triple check it's a disco,,,,,,,,,,,,,,,
SRER_001.W.20220712.CARSP14.01,D14.2022.CARSP14.SRER.05,D4,8,Kmatthiesen,,Apristus tuckeri,20221116,E.Martin,"Casey, 1914",,20221129,E.Martin,res not in fulcrum,,,,,,,,,,,,,,,
SRER_002.E.20220712.CARSP14.01,D14.2022.CARSP14.SRER.05,D5,3,Kmatthiesen,,Discoderus robustus,20221116,E.Martin,"Arnett and Thomas, 2001",,20221129,E.Martin,,,,,,,,,,,,,,,,
SRER_002.S.20220712.CARSP14.01,D14.2022.CARSP14.SRER.05,E1,4,Kmatthiesen,,Selenophorus sp,20221129,R. Leal,"Arnett and Thomas, 2001",,,,Wait for sp. ID,,,,,,,,,,,,,,,
SRER_003.E.20220712.CARSP14.01,D14.2022.CARSP14.SRER.05,E3,1,Kmatthiesen,,Harpalus obliquus cf. sp.,20221116,E.Martin,"Ball, 1972",,20221129,E.Martin,,,,,,,,,,,,,,,,
SRER_003.S.20220712.CARSP14.01,D14.2022.CARSP14.SRER.05,E4,1,Kmatthiesen,,Selenophorus sp.,20221129,R. Leal,"Arnett and Thomas, 2001",,,,Wait for sp. ID,,,,,,,,,,,,,,,
SRER_003.W.20220712.CARSP14.01,D14.2022.CARSP14.SRER.05,E5,2,Kmatthiesen,,Harpalus obliquus cf. sp.,20221116,E.Martin,"Ball, 1972",,20221129,E.Martin,,,,,,,,,,,,,,,,
SRER_004.E.20220712.CARSP14.01,D14.2022.CARSP14.SRER.06,A1,2,Kmatthiesen,,Apristus tuckeri,20221122,E.Martin,"Casey, 1914",,20221129,E.Martin,res not in fulcrum,,,,,,,,,,,,,,,
SRER_004.E.20220712.CARSP14.01,D14.2022.CARSP14.SRER.06,A2,3,Kmatthiesen,,Selenophorus sp.,20221129,R. Leal,"Arnett and Thomas, 2001",,,,Wait for sp. ID,,,,,,,,,,,,,,,
SRER_004.W.20220712.CARSP14.01,D14.2022.CARSP14.SRER.06,A3,2,Kmatthiesen,,Apristus tuckeri,20221122,E.Martin,"Casey, 1914",,20221129,E.Martin,res not in fulcrum,,,,,,,,,,,,,,,
SRER_004.S.20220712.CARSP14.01,D14.2022.CARSP14.SRER.06,A4,3,Kmatthiesen,,Selenophorus sp.,20221129,R. Leal,"Arnett and Thomas, 2001",,,,Wait for sp. ID,,,,,,,,,,,,,,,
SRER_005.S.20220712.CARSP14.01,D14.2022.CARSP14.SRER.06,A5,4,Kmatthiesen,,Selenophorus sp.,20221129,R. Leal,"Arnett and Thomas, 2001",,,,Wait for sp. ID,,,,,,,,,,,,,,,
SRER_006.W.20220712.CARSP14.01,D14.2022.CARSP14.SRER.06,B2,2,Kmatthiesen,,Selenophorus sp.,,,,,,,Wait for sp. ID,,,,,,,,,,,,,,,
SRER_007.E.20220712.CARSP14.01,D14.2022.CARSP14.SRER.06,B3,3,Kmatthiesen,,Apristus tuckeri,20221123,E.Martin,"Casey, 1914",,20221129,E.Martin,res not in fulcrum,,,,,,,,,,,,,,,
SRER_007.S.20220712.CARSP14.01,D14.2022.CARSP14.SRER.06,B5,1,Kmatthiesen,,Apristus tuckeri,20221123,E.Martin,"Casey, 1914",,20221129,E.Martin,res not in fulcrum,,,,,,,,,,,,,,,
SRER_007.W.20220712.CARSP14.01,D14.2022.CARSP14.SRER.06,C2,4,Kmatthiesen,,Discoderus robustus,20221123,E.Martin,"Arnett and Thomas, 2001",,20221129,E.Martin,,,,,,,,,,,,,,,,
SRER_007.W.20220712.CARSP14.02,D14.2022.CARSP14.SRER.06,C3,1,Kmatthiesen,,Apristus tuckeri,20221123,E.Martin,"Casey, 1914",,20221129,E.Martin,res not in fulcrum,,,,,,,,,,,,,,,
SRER_008.E.20220712.CARSP14.01,D14.2022.CARSP14.SRER.06,C4,2,Kmatthiesen,,Selenophorus sp.,,,,,,,Wait for sp. ID,,,,,,,,,,,,,,,
SRER_008.E.20220712.CARSP14.02,D14.2022.CARSP14.SRER.06,C5,3,Kmatthiesen,,Discoderus robustus,20221123,E.Martin,"Arnett and Thomas, 2001",,20221129,E.Martin,,,,,,,,,,,,,,,,
SRER_008.S.20220712.CARSP14.01,D14.2022.CARSP14.SRER.06,D1,1,Kmatthiesen,,Selenophorus sp.,,,,,,,Wait for sp. ID,,,,,,,,,,,,,,,
SRER_008.W.20220712.CARSP14.01,D14.2022.CARSP14.SRER.06,D2,1,Kmatthiesen,,Selenophorus sp.,,,,,,,Wait for sp. ID,,,,,,,,,,,,,,,
SRER_009.E.20220712.CARSP14.01,D14.2022.CARSP14.SRER.06,D3,2,Kmatthiesen,,Selenophorus sp.,,,,,,,Wait for sp. ID,,,,,,,,,,,,,,,
SRER_009.S.20220712.CARSP14.01,D14.2022.CARSP14.SRER.06,D4,3,Kmatthiesen,,Apristus tuckeri,20221123,E.Martin,"Casey, 1914",,20221129,E.Martin,res not in fulcrum,,,,,,,,,,,,,,,
SRER_009.W.20220712.CARSP14.01,D14.2022.CARSP14.SRER.06,D5,2,Kmatthiesen,,Selenophorus sp.,,,,,,,Wait for sp. ID,,,,,,,,,,,,,,,
SRER_010.E.20220712.CARSP14.01,D14.2022.CARSP14.SRER.06,E1,4,Kmatthiesen,,Selenophorus sp.,,,,,,,Wait for sp. ID,,,,,,,,,,,,,,,
SRER_010.W.20220712.CARSP14.01,D14.2022.CARSP14.SRER.06,E2,8,Kmatthiesen,,Selenophorus sp.,,,,,,,Wait for sp. ID,,,,,,,,,,,,,,,
SRER_002.E.20220726.CARSP14.01,D14.2022.CARSP14.SRER.06,E3,2,Kmatthiesen,,Discoderus robustus,20221123,E.Martin,"Arentt and Thomas, 2001",,20221129,E.Martin,,,,,,,,,,,,,,,,
SRER_002.S.20220726.CARSP14.01,D14.2022.CARSP14.SRER.06,E4,5,Kmatthiesen,,Discoderus robustus,20221123,E.Martin,"Arentt and Thomas, 2001",,20221129,E.Martin,,,,,,,,,,,,,,,,
SRER_003.W.20220726.CARSP14.01,D14.2022.CARSP14.SRER.07,A1,1,Kmatthiesen,,Bembidion poculare,20221201,R. Leal,"Lindroth, 1969",,20221214,E.Martin,,,,,,,,,,,,,,,,
SRER_004.W.20220726.CARSP14.01,D14.2022.CARSP14.SRER.07,A2,2,Kmatthiesen,,Apristus tuckeri,20221101,R. Leal,"Casey, 1914",,20221214,E.Martin,res not in fulcrum,,,,,,,,,,,,,,,
SRER_007.E.20220726.CARSP14.01,D14.2022.CARSP14.SRER.07,A3,5,Kmatthiesen,,Selenophorus sp.,20221101,R. Leal,"Arnett and Thomas, 2001",,,,Wait for sp. ID,,,,,,,,,,,,,,,
SRER_007.W.20220726.CARSP14.01,D14.2022.CARSP14.SRER.07,A4,2,Kmatthiesen,,Discoderus robustus,20221101,R. Leal,"Arnett and Thomas, 2001",,20221214,E.Martin,,,,,,,,,,,,,,,,
SRER_001.W.20220809.CARSP14.01,D14.2022.CARSP14.SRER.07,A5,1,Kmatthiesen,,Discoderus robustus,20221101,R. Leal,"Arnett and Thomas, 2001",,20221214,E.Martin,,,,,,,,,,,,,,,,
SRER_002.E.20220809.CARSP14.01,D14.2022.CARSP14.SRER.07,B1,4,Kmatthiesen,,Discoderus robustus,20221101,R. Leal,"Arnett and Thomas, 2001",,20221214,E.Martin,,,,,,,,,,,,,,,,
SRER_002.S.20220809.CARSP14.01,D14.2022.CARSP14.SRER.07,B2,2,Kmatthiesen,,Discoderus robustus,20221101,R. Leal,"Arnett and Thomas, 2001",,20221214,E.Martin,,,,,,,,,,,,,,,,
SRER_002.W.20220809.CARSP14.01,D14.2022.CARSP14.SRER.07,B3,5,Kmatthiesen,ASU,Discoderus sp.,20221101,R. Leal,"Arnett and Thomas, 2001",2 ind. bit smaller & pronotum differs slightly,20221214,E.Martin,,,,,,,,,,,,,,,,
SRER_003.S.20220809.CARSP14.01,D14.2022.CARSP14.SRER.07,B4,1,Kmatthiesen,,Selenophorus sp.,20221101,R. Leal,"Arnett and Thomas, 2001",,,,Wait for sp. ID,,,,,,,,,,,,,,,
SRER_004.S.20220809.CARSP14.01,D14.2022.CARSP14.SRER.07,B5,1,Kmatthiesen,,Selenophorus sp.,20221101,R. Leal,"Arnett and Thomas, 2001",,,,Wait for sp. ID,,,,,,,,,,,,,,,
SRER_004.W.20220809.CARSP14.01,D14.2022.CARSP14.SRER.07,C1,1,Kmatthiesen,ASU,Discoderus sp.,20221101,R. Leal,"Arnett and Thomas, 2001",Front tibias don't have spines on outer margin ,20221215,E.Martin,,,,,,,,,,,,,,,,
SRER_005.E.20220809.CARSP14.01,D14.2022.CARSP14.SRER.07,C2,1,Kmatthiesen,,Selenophorus sp.,20221101,R. Leal,"Arnett and Thomas, 2001",,,,Wait for sp. ID,,,,,,,,,,,,,,,
SRER_006.E.20220809.CARSP14.01,D14.2022.CARSP14.SRER.07,C3,1,Kmatthiesen,,Selenophorus sp.,20221101,R. Leal,"Arnett and Thomas, 2001",,,,Wait for sp. ID,,,,,,,,,,,,,,,
SRER_006.S.20220809.CARSP14.01,D14.2022.CARSP14.SRER.07,C4,2,Kmatthiesen,,Selenophorus sp.,20221101,R. Leal,"Arnett and Thomas, 2001",,,,Wait for sp. ID,,,,,,,,,,,,,,,
SRER_007.E.20220809.CARSP14.01,D14.2022.CARSP14.SRER.07,D1,1,E.Martin,,Discoderus robustus,20221205,E.Martin,"Arnett and Thomas, 2001",,20221215,E.Martin,,,,,,,,,,,,,,,,
SRER_005.E.20220809.CARSP14.01,D14.2022.CARSP14.SRER.07,D2,1,Kmatthiesen,,Discoderus robustus,20221205,R. Leal,"Arnett and Thomas, 2001",,20221215,E.Martin,,,,,,,,,,,,,,,,
SRER_009.E.20220809.CARSP14.01,D14.2022.CARSP14.SRER.07,D3,1,Kmatthiesen,,Discoderus robustus,20221205,R. Leal,"Arnett and Thomas, 2001",,20221215,E.Martin,,,,,,,,,,,,,,,,
SRER_009.S.20220809.CARSP14.01,D14.2022.CARSP14.SRER.07,D4,1,Kmatthiesen,,Discoderus robustus,20221129,R. Leal,"Arnett and Thomas, 2001",,20221215,E.Martin,,,,,,,,,,,,,,,,
SRER_009.W.20220809.CARSP14.01,D14.2022.CARSP14.SRER.07,D5,3,Kmatthiesen,,Selenophorus sp.,20221205,R. Leal,"Arnett and Thomas, 2001",,,,Wait for sp. ID,,,,,,,,,,,,,,,
SRER_010.E.20220809.CARSP14.01,D14.2022.CARSP14.SRER.07,E1,1,Kmatthiesen,,Discoderus robustus,20221205,R. Leal,"Arnett and Thomas, 2001",,20221215,E.Martin,,,,,,,,,,,,,,,,
SRER_010.W.20220809.CARSP14.01,D14.2022.CARSP14.SRER.07,E3,9,Kmatthiesen,ASU,Selenophorus sp.,20221205,R. Leal,"Arnett and Thomas, 2001","2 ind. extra light in color, super blond. at least 2 different sp.?",,,Wait for sp. ID,,,,,,,,,,,,,,,
SRER_010.W.20220809.CARSP14.03,D14.2022.CARSP14.SRER.07,E4,1,E.Martin,,,,,,For Rita,,,,,,,,,,,,,,,,,,
SRER_010.W.20220809.CARSP14.04,D14.2022.CARSP14.SRER.07,E5,1,E.Martin,,,,,,Super cool beet! Long-necked,,,,,,,,,,Colliuris pensylvanica [Det. E. Martin 20221207],,,,,,,,
SRER_002.E.20220503.CARSP14.03,D14.2022.CARSP14.SRER.08,A1,1,E.Martin,,Amara sp. (apachensis),20221020,E.Martin,"Arentt and Thomas, 2001",,20221129,E.Martin,Want sp. ID,,,,,,,,,,,,,,,
SRER_002.W.20220503.CARSP14.03,D14.2022.CARSP14.SRER.08,A2,1,E.Martin,ASU,Discoderus robustus,20221115,E.Martin,"Arentt and Thomas, 2001",[Det. D robustus 11/23]Weird looking possible Disco. Possibly a diff species or another genus altogether. Feel good about Harpalini. Led to Disco. 3 times. ,20221129,E.Martin,,,,,,,,,,,,,,,,
SRER_009.W.20220712.CARSP14.01,D14.2022.CARSP14.SRER.08,A3,1,E.Martin,,Tetragonoderus pallidus,20221214,E.Martin,"Lindroth, 1969",,20221214,E.Martin,,,,,,,,,,,,,,,,
SRER_006.E.20220503.CARSP14.02,D14.2022.CARSP14.SRER.08,A4,7,E.Martin,,Amara sp.,20221115,E.Martin,"Arentt and Thomas, 2001","Leaning towards Bradytus, but one or more could be Curtonotus",20221129,E.Martin,Want sp. ID,,,,,,,,,,,,,,,
SRER_006.S.20220503.CARSP14.02,D14.2022.CARSP14.SRER.08,A5,2,E.Martin,,Amara sp.,20221115,E.Martin,"Arentt and Thomas, 2001",,20221129,E.Martin,Want sp. ID,,,,,,,,,,,,,,,
SRER_004.W.20220712.CARSP14.02,D14.2022.CARSP14.SRER.08,B1,1,E.Martin,,Bembidion poculare,20221214,E.Martin,"Lindroth, 1969",,20221214,E.Martin,,,,,,,,,,,,,,,,
